"page_url","lang","full_title","short_title"
"cf_worktable69.php","en","cf_worktable69.php","cf_worktable69.php"
"cf_worktable70.php","en","cf_worktable70.php","cf_worktable70.php"
"cf_worktable71.php","en","cf_worktable71.php","cf_worktable71.php"
"cf_worktable72.php","en","cf_worktable72.php","cf_worktable72.php"
"cf_worktable73.php","en","cf_worktable73.php","cf_worktable73.php"
"cf_worktable74.php","en","cf_worktable74.php","cf_worktable74.php"
"cf_worktable75.php","en","cf_worktable75.php","cf_worktable75.php"
"cf_worktable76.php","en","cf_worktable76.php","cf_worktable76.php"
"cf_worktable77.php","en","cf_worktable77.php","cf_worktable77.php"
"cf_worktable78.php","en","cf_worktable78.php","cf_worktable78.php"
"cf_worktable79.php","en","cf_worktable79.php","cf_worktable79.php"
"cf_worktable80.php","en","cf_worktable80.php","cf_worktable80.php"
"cf_worktable81.php","en","cf_worktable81.php","cf_worktable81.php"
"cf_worktable82.php","en","cf_worktable82.php","cf_worktable82.php"
"cf_worktable83.php","en","cf_worktable83.php","cf_worktable83.php"
"cf_worktable84.php","en","cf_worktable84.php","cf_worktable84.php"
"cf_worktable85.php","en","cf_worktable85.php","cf_worktable85.php"
"cf_worktable86.php","en","cf_worktable86.php","cf_worktable86.php"
"cf_worktable87.php","en","cf_worktable87.php","cf_worktable87.php"
"cf_worktable88.php","en","cf_worktable88.php","cf_worktable88.php"
"cf_worktable89.php","en","cf_worktable89.php","cf_worktable89.php"
"cf_worktable90.php","en","cf_worktable90.php","cf_worktable90.php"
"cf_worktable91.php","en","cf_worktable91.php","cf_worktable91.php"
"cf_worktable92.php","en","cf_worktable92.php","cf_worktable92.php"
"cf_worktable93.php","en","cf_worktable93.php","cf_worktable93.php"
"cf_worktable94.php","en","cf_worktable94.php","cf_worktable94.php"
"cf_worktable95.php","en","cf_worktable95.php","cf_worktable95.php"
"cf_worktable96.php","en","cf_worktable96.php","cf_worktable96.php"
"cf_worktable97.php","en","cf_worktable97.php","cf_worktable97.php"
"cf_worktable98.php","en","cf_worktable98.php","cf_worktable98.php"
"cf_worktable99.php","en","cf_worktable99.php","cf_worktable99.php"
"cf_app.php?cat1","en","Category 1","CATEGORY 1"
"cf_app.php?cat2","en","Category 2","CATEGORY 2"
"cf_app.php?cat3","en","Category 3","CATEGORY 3"
"cf_app.php?cat4","en","Category 4","CATEGORY 4"
"cf_app.php?cat5","en","Category 5","CATEGORY 5"
"cf_app.php?cat6","en","Category 6","CATEGORY 6"
"cf_app.php?cat7","en","Category 7","CATEGORY 7"
"cf_app.php?cat8","en","Category 8","CATEGORY 8"
"cf_app.php?cat9","en","Category 9","CATEGORY 9"
"cf_worktable_admin.php","en","File Card Administration","FILE CARDS"
"cf_worktable_admin_cat.php","en","File Card Administration","FILE CARD CATEGORIES"
"cf_worktable_wizard.php","en","New File Card wizard","NEW FILE CARD WIZARD"
"cf_worktable_wizard_step2.php","en","Step 2 - Field configuration 1/2","FIELD CONFIGURATION"
"cf_worktable_wizard_step3.php","en","Step 3 - Field configuration 2/2","FIELD CONFIGURATION"
"cf_worktable_wizard_step4.php","en","Step 4 - Data import","DATA IMPORT"
"cf_rest_controller.php","en","REST API","REST API"
"cf_rest_controller.php","it","REST API","REST API"
"cf_api.php","en","REST API","REST API"
"cf_api.php","it","REST API","REST API"
